n,score
981,85.51325840531942
982,100.39564133617962
983,90.76572811077861
984,92.91219366219659
985,89.57214808644693
986,93.12879950188407
987,82.64052958286659
988,79.46009192948067
989,79.50116567672089
990,87.05102158447997
991,83.20392457006999
992,78.54402856366349
993,73.56586589368081
994,95.96689947170069
995,78.93539326551978
996,81.24405603266324
997,75.82981747485987
998,80.81563059041875
999,76.07103667182399
1000,96.08941067777842
1001,84.4119505288495
1002,86.51759039710788
1003,103.5698200180463
1004,91.08083683798303
1005,92.09279011775502
1006,95.66014158460878
1007,137.9879678623719
1008,181.58185871503284
1009,138.33423371799358
1010,205.69509903755082
1011,178.57696253091808
1012,133.90766225637677
1013,150.08037780812901
1014,204.9183370730952
1015,209.53304185288462
1016,212.37122628353745
1017,194.77361142500064
1018,131.94288705631826
1019,184.95927364465453
1020,204.49932667195483
1021,142.11204211480464
1022,206.68483610523603
1023,159.07066339441857
1024,189.7718958521785
1025,152.6565215107281
1026,155.64830702311588
1027,136.96016638071362
1028,168.6363125365765
1029,143.7798324114776
1030,122.5340243345759
1031,112.94551783217669
1032,127.18787878660149
1033,121.22394993004875
1034,119.88279142462518
1035,108.56360636508067
1036,121.86089618209523
1037,112.59883395795211
1038,105.6277592547959
1039,111.6205042822509
1040,103.99549566907334
1041,94.78673171783377
1042,135.2615775858086
1043,113.32134872406758
1044,120.40424035434985
1045,106.54243297851168
1046,98.11373168491623
1047,116.00727452097996
1048,115.54441355508222
1049,143.29466445625613
1050,128.06887381332155
1051,119.35048729739937
1052,137.08208923946415
1053,133.22473387650905
1054,131.72259163202088
1055,125.97909772176828
1056,136.55497971409253
1057,108.56468683145815
1058,108.60769679173022
1059,98.7908938225203
1060,120.55548463598552
1061,95.75177880019704
1062,110.6002911517504
1063,84.52060428579297
1064,105.27414540775743
1065,82.11236031898078
1066,87.70840025120876
1067,83.64151815956106
1068,81.87811594390097
1069,86.39425358866015
1070,85.94091923108438
1071,75.70215214958449
1072,85.41938772752913
1073,69.13398478398999
1074,78.6648897746494
1075,70.2866514478596
1076,76.9136999369842
1077,75.20976795676003
1078,68.28675964047044
1079,67.03020837401233
1080,70.45133457302816
1081,66.79086732180454
1082,63.84975461011891
1083,65.11639523352025
1084,63.63351305246201
1085,58.72876501285327
1086,69.23656547479442
1087,66.11676624900592
1088,67.52059712953265
1089,63.20021371881646
1090,69.96196660450096
1091,63.0872541087184
1092,57.58679425037083
1093,55.97348041853305
1094,70.393472215885
1095,56.996916938969704
1096,64.82851522704466
1097,65.0032999306637
1098,68.9354336195802
1099,57.779493663100254
1100,80.84963806380983
1101,64.01319340946003
1102,79.99638887943767
1103,70.72028472239252
1104,77.3128238829887
1105,71.30972865528386
1106,67.40799242845785
1107,75.45144832204178
1108,66.31817083580003
1109,67.78985358147634
1110,60.242520668036875
1111,55.635691423716445
1112,66.66923549090379
1113,67.73266798276487
1114,59.52574921429195
1115,62.79110006206324
1116,77.57646591315277
1117,73.42290605391617
1118,79.05110483294389
1119,71.25422497212845
1120,89.12993551369411
1121,97.60180210889077
1122,80.50600767444165
1123,103.41848887227837
1124,73.95999249840008
1125,99.54987711497314
1126,112.2642441986592
1127,93.29670637827783
1128,109.86755854900386
1129,96.51608014595477
1130,114.38913265377509
1131,107.96702815960002
1132,110.39980295187773
1133,92.14235321281981
1134,142.5667398421511
1135,119.53520648476074
1136,111.8768824282986
1137,87.51692475939406
1138,129.03586224108864
1139,96.35204456276881
1140,91.05551583602077
1141,95.6499766811811
1142,124.8155270990344
1143,83.91985591449497
1144,219.98020873413017
1145,138.99012473154
