n,score
447,468.7131843297277
448,592.9524410597583
449,1263.7841411354584
450,946.6002806164853
451,1025.8915128194287
452,756.6131324602311
453,932.2180574053015
454,600.1009491422199
455,556.2864543805964
456,742.6066094465609
457,1576.269191715123
458,931.6362667780216
459,788.1371376948998
460,483.77288795672587
461,581.7492212454873
462,785.1344004356724
463,784.8614987156433
464,697.194822895956
465,1202.2859467759256
466,681.85245075623
467,784.7003309751251
468,776.0488991302273
469,749.0316342317373
470,576.1834356113912
471,477.20492944009897
472,928.9228810170518
473,558.7591789170269
474,936.83998553135
475,741.8945522018172
476,1643.6000115262113
477,599.4715827404953
478,751.2934945600966
479,1208.9242580557154
480,957.8154452582579
481,928.1338612404934
482,647.2181834735321
483,655.2360689559994
484,1135.6918006870799
485,697.2691914981216
486,788.088120553206
487,475.0202885675706
488,728.1186411380851
489,774.647068313599
490,770.8548540442864
491,959.158337778309
492,1750.5079414793352
493,723.9774345160184
494,568.8994236760859
495,958.5415431150692
496,745.5604544338365
497,938.6469611804669
498,569.7475318046986
499,721.005807747775
500,663.4537114000105
501,952.7954528988658
502,799.2548968746253
503,560.2523100433863
504,1234.5147809002917
505,715.0795161160315
506,921.4458416382479
507,471.78491497658086
508,759.195749662814
509,1474.9278287445354
510,568.5927536489573
511,461.9494202645352
512,914.8700831973227
513,671.2409335467369
514,698.1697627402175
515,697.2198784874967
516,1371.2182296173576
517,559.1691563800332
518,943.1288564166991
519,935.7961208140854
520,555.1596759971277
521,770.3513207495646
522,737.7534119648844
523,1158.1945042265177
524,781.9528682377929
525,551.4726811245545
526,910.1388697861313
527,933.13732448445
528,530.051534947693
529,555.6323243554186
530,810.3979847777954
531,677.2343309207557
532,793.6275121108488
533,697.6868958099545
534,547.0268755384282
535,1080.3223162888007
536,450.9467101689286
537,719.0942675869923
538,691.1790928031548
539,1357.869126649406
540,974.099456547349
541,909.5109135631639
542,650.6016194460198
543,1246.3266261710614
544,664.7128547778658
545,450.00674536100405
546,919.487199118397
547,670.3518336343175
548,1023.6461942626303
549,737.4703376599152
550,965.8991894924819
551,567.9796594827625
552,1048.1014486407114
553,550.4989022813127
554,558.7546377069135
555,1120.166752711116
556,485.92555744640373
557,784.0942380500809
558,757.3065982786914
559,932.4716264955889
560,692.6741212934077
561,1243.0123816955336
